2.1.0	2.1.0	{Case: [genitive], Gender: [masculine], Number: [singular]}	
Ἁλιεὺς	Ἁλιεύς	{Case: [nominative], Gender: [masculine], Number: [singular]}	
δέ	δέ	{}	but
ὀνόματι	ὄνομα	{Case: [dative], Gender: [neuter], Number: [singular]}	name
Δίκτυς,	Δίκτυς,	{Case: [nominative], Gender: [masculine], Number: [singular]}	
εὑρὼν	εὑρίσκω	{Aspect: [perfective], Case: [nominative], Gender: [masculine], Number: [singular], Tense: [past], VerbForm: [participle], Voice: [active]}	to find
αὐτοὺς	αὐτός	{Case: [accusative], Gender: [masculine], Number: [plural], Person: [third], PrononimalType: [personal]}	unemph. 3rd pers.pronoun; -self; [the] same 
ἡγήσατο	ἡγέομαι	{Aspect: [perfective], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [middle]}	to lead; to consider, believe
Πολυδέκτην	Πολυδέκτη	{Case: [accusative], Gender: [masculine], Number: [singular]}	
γῆς	γῆ	{Case: [genitive], Gender: [feminine], Number: [singular]}	earth
βασιλέα,	βασιλεύς	{Case: [accusative], Gender: [masculine], Number: [singular]}	a king, chief
ὑφ	ἐάφ	{}	
εὖ	εὖ	{}	well
ἔπαθον.	παθονάω	{Aspect: [perfective], Mood: [indicative], Number: [plural], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	
Τέλος	Τέλος	{Case: [accusative], Gender: [neuter], Number: [singular]}	
βασιλεὺς	βασιλεύς	{Case: [nominative], Gender: [masculine], Number: [singular]}	a king, chief
φιλῶν	φιλέω	{Case: [nominative], Gender: [masculine], Number: [singular], Tense: [present], VerbForm: [participle], Voice: [active]}	to love, regard with affection
Δανάην	Δανᾶα	{Case: [accusative], Gender: [feminine], Number: [singular]}	
ἀφανίσαι	ἀφανίζω	{Aspect: [perfective], Tense: [past], VerbForm: [infinitive], Voice: [active]}	to make unseen, hide from sight
Περσέα	Περσεύς	{Case: [accusative], Gender: [masculine], Number: [singular]}	Perseus
ἐβούλετο.	βούλομαι	{Aspect: [imperfective], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [middle]}	to will, wish, be willing
2.19.3	2.19.3	{Case: [genitive], Gender: [masculine], Number: [singular]}	
Διά	διά	{}	through c. gen.; because of c. acc.
ἀπέπεμψεν	ἀποπέμπω	{Aspect: [perfective], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	to send off
αὐτὸν	αὐτός	{Case: [accusative], Gender: [masculine], Number: [singular], Person: [third], PrononimalType: [personal]}	unemph. 3rd pers.pronoun; -self; [the] same 
πως	πως	{}	somehow, in some way
κτήσαιτο	κτάομαι	{Aspect: [perfective], Mood: [optative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [middle]}	to procure for oneself, to get, gain, acquire
κεφαλὴν	κεφαλή	{Case: [accusative], Gender: [feminine], Number: [singular]}	the head
Μεδούσης	Μέδουσα	{Case: [genitive], Gender: [feminine], Number: [singular]}	Medusa
Γοργοῦς.	Γοργοῦς	{Case: [genitive], Gender: [masculine], Number: [singular]}	
Βοηθοῦντος	Βοηθοῦς	{Case: [genitive], Gender: [masculine], Number: [singular]}	
Ἑρμοῦ	Ἑρμός	{Case: [genitive], Gender: [masculine], Number: [singular]}	
Ἀθήνης	Ἀθῆναι	{Case: [genitive], Gender: [feminine], Number: [singular]}	the city of Athens
προσῆλθε	προσέρχομαι	{Aspect: [perfective], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	to come
Γραίας	Γραΐα	{Case: [genitive], Gender: [feminine], Number: [singular]}	
Γοργόνων	Γόργονος	{Case: [genitive], Gender: [masculine], Number: [plural]}	
ὁμαίμους,	ὁμαίμος	{Case: [accusative], Gender: [masculine], Number: [plural]}	
ἀφ	ἀπό	{}	from, away from. c. gen.
ἀφεῖλε	ἀφαιρέω	{Aspect: [perfective], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	to take from, take away from
ὀδόντα	ὀδός	{Case: [accusative], Gender: [masculine], Number: [singular]}	a threshold > οὐδός
ὀφθαλμόν	ὀφθαλμός	{Case: [accusative], Gender: [masculine], Number: [singular]}	the eye
(τρεῖς	τρέω	{Mood: [indicative], Number: [plural], Person: [second], Tense: [present], VerbForm: [finite], Voice: [active]}	to flee from fear, flee away
οὖσαι	εἰμί	{Case: [nominative], Gender: [feminine], Number: [plural], Tense: [present], VerbForm: [participle], Voice: [active]}	to be
ἕνα	εἷς	{Case: [accusative], Gender: [masculine], Number: [singular]}	one
μόνον	μόνος	{Case: [accusative], Degree: [positive], Gender: [neuter], Number: [singular]}	alone, left alone, forsaken solitary
εἶχον),	ἔχω	{Aspect: [imperfective], Mood: [indicative], Number: [plural], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	have, hold; be able; (+ adv.) be; (mid.) cling to, be next to (+ gen.)
ἀποδοῦναι	ἀποδίδωμι	{Aspect: [perfective], Tense: [past], VerbForm: [infinitive], Voice: [active]}	to give back, give what is due; (mid.) sell
ἤθελεν	ἐθέλω	{Aspect: [imperfective], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	to will, wish, purpose
ἢν	ἐάν	{}	if
ἀποδεικνύωσι	ἀποδείκνυμι	{Mood: [subjunctive], Number: [plural], Person: [third], Tense: [present], VerbForm: [finite], Voice: [active]}	display, appoint, demonstrate
ὁδὸν	ὁδός	{Case: [accusative], Gender: [feminine], Number: [singular]}	a way, path, track, journey
Νύμφας	Νύμφας	{Case: [accusative], Gender: [feminine], Number: [plural]}	
ἄγουσαν·	ἄγω	{Case: [accusative], Gender: [feminine], Number: [singular], Tense: [present], VerbForm: [participle], Voice: [active]}	to lead
εἶχον	ἔχω	{Aspect: [imperfective], Mood: [indicative], Number: [plural], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	have, hold; be able; (+ adv.) be; (mid.) cling to, be next to (+ gen.)
πτηνὰ	πτηνός	{Case: [accusative], Degree: [positive], Gender: [neuter], Number: [plural]}	feathered, winged
πέδιλα	πέδιλον	{Case: [accusative], Gender: [neuter], Number: [plural]}	sandals
πήραν	πήρα	{Case: [accusative], Gender: [feminine], Number: [singular]}	a leathern pouch, a wallet, scrip
Πλούτωνος	Πλούτων	{Case: [genitive], Gender: [masculine], Number: [singular]}	Pluto
κόρυθα,	κόρυθα	{Case: [accusative], Gender: [feminine], Number: [singular]}	
ἥνπερ	τνισρός	{Case: [accusative], Gender: [feminine], Number: [singular], PrononimalType: [relative]}	
φορῶν	φορέω	{Case: [nominative], Gender: [masculine], Number: [singular], Tense: [present], VerbForm: [participle], Voice: [active]}	to bear
ἀφανὴς	ἀφανής	{Case: [nominative], Degree: [positive], Gender: [masculine], Number: [singular]}	unseen, invisible, viewless
ἐγένετο.	γίγνομαι	{Aspect: [perfective], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [middle]}	become, be born
2.19.4	2.19.4	{Case: [genitive], Gender: [masculine], Number: [singular]}	
Λαβὼν	λαμβάνω	{Aspect: [perfective], Case: [nominative], Gender: [masculine], Number: [singular], Tense: [past], VerbForm: [participle], Voice: [active]}	to take, seize, receive
νυμφῶν	νυμφός	{Case: [genitive], Gender: [masculine], Number: [plural]}	
δρέπανον	δρέπανον	{Case: [accusative], Gender: [neuter], Number: [singular]}	a scythe
ἀφ	ἀπό	{}	from, away from. c. gen.
Ἑρμοῦ	Ἑρμός	{Case: [genitive], Gender: [masculine], Number: [singular]}	
ἀπ	ἄς	{Case: [genitive], Definiteness: [definite], Gender: [feminine], Number: [singular], PrononimalType: [demonstrative]}	
Ἀθήνης	Ἀθῆναι	{Case: [genitive], Gender: [feminine], Number: [singular]}	the city of Athens
κάτοπτρον,	κάτοπτρον	{Case: [accusative], Gender: [neuter], Number: [singular]}	a mirror
ἀέρα	ἀήρ	{Case: [accusative], Gender: [masculine], Number: [singular]}	the lower air, the air
ἀναπτόμενος	ἀνάπτω	{Case: [nominative], Gender: [masculine], Number: [singular], Tense: [present], VerbForm: [participle], Voice: [middle]}	to make fast on
προσῆλθεν	προσέρχομαι	{Aspect: [perfective], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	to come
Γοργόνων	Γόργονος	{Case: [genitive], Gender: [masculine], Number: [plural]}	
οἶκον.	οἰκονή	{Case: [accusative], Gender: [masculine], Number: [singular]}	
Εὑρὼν	εὑρίσκω	{Aspect: [perfective], Case: [nominative], Gender: [masculine], Number: [singular], Tense: [past], VerbForm: [participle], Voice: [active]}	to find
αὐτὰς	αὐτός	{Case: [accusative], Gender: [feminine], Number: [plural], Person: [third], PrononimalType: [personal]}	unemph. 3rd pers.pronoun; -self; [the] same 
καθευδούσας	καθεύδω	{Case: [accusative], Gender: [feminine], Number: [plural], Tense: [present], VerbForm: [participle], Voice: [active]}	to lie down to sleep, sleep
Μέδουσαν	οέδειμι	{Case: [accusative], Gender: [feminine], Number: [singular], Tense: [present], VerbForm: [participle], Voice: [active]}	
κατιδὼν	καθοράω	{Aspect: [perfective], Case: [nominative], Gender: [masculine], Number: [singular], Tense: [past], VerbForm: [participle], Voice: [active]}	(to look down); to observe
κατόπτρου	κάτοπτρον	{Case: [genitive], Gender: [neuter], Number: [singular]}	a mirror
(οὐ	(οὐ	{}	
χαίρων	χαίρω	{Case: [nominative], Gender: [masculine], Number: [singular], Tense: [present], VerbForm: [participle], Voice: [active]}	to rejoice, be glad, be delighted
ἐδύνατο	δύναμαι	{Aspect: [imperfective], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [middle]}	to be able, capable, strong enough
στόμα),	στόμα	{Case: [accusative], Gender: [feminine], Number: [singular]}	the mouth
ἀπέτεμεν	ἀποτίθημι	{Aspect: [perfective], Mood: [indicative], Number: [singular], Person: [first], Tense: [past], VerbForm: [finite], Voice: [active]}	to put away, stow away
αὐτῆς	αὐτός	{Case: [genitive], Gender: [feminine], Number: [singular], Person: [third], PrononimalType: [personal]}	unemph. 3rd pers.pronoun; -self; [the] same 
κεφαλήν.	κεφαλήν	{Case: [accusative], Gender: [feminine], Number: [singular]}	
2.19.5	2.19.5	{Case: [genitive], Gender: [masculine], Number: [singular]}	
Ἐνθεῖς	Ἐνθέας	{Case: [nominative], Gender: [masculine], Number: [singular]}	
πήρᾳ	πήρα	{Case: [dative], Gender: [feminine], Number: [singular]}	a leathern pouch, a wallet, scrip
ἀπέφυγεν,	ἀποφεύγω	{Aspect: [perfective], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	to flee from, escape
οἷαί	οἷος	{Case: [nominative], Degree: [positive], Gender: [feminine], Number: [plural]}	(such a kind) as; for οἷός τε see οἷος III.2
ἦσαν	εἰμί	{Aspect: [imperfective], Mood: [indicative], Number: [plural], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	to be
καταλαβεῖν	καταλαμβάνω	{Aspect: [perfective], Tense: [past], VerbForm: [infinitive], Voice: [active]}	to seize upon, lay hold of
αὐτὸν	αὐτός	{Case: [accusative], Gender: [masculine], Number: [singular], Person: [third], PrononimalType: [personal]}	unemph. 3rd pers.pronoun; -self; [the] same 
κόρυθα	κόρυθον	{Case: [accusative], Gender: [feminine], Number: [singular]}	
ἠμφιεσμένον.	ἀμφιέννυμι	{Aspect: [perfective], Case: [accusative], Gender: [neuter], Number: [singular], Tense: [past], VerbForm: [participle], Voice: [passive]}	to put round
Ἀπελθὼν	ἀπέρχομαι	{Aspect: [perfective], Case: [nominative], Gender: [masculine], Number: [singular], Tense: [past], VerbForm: [participle], Voice: [active]}	to go away, depart from
ἐντεῦθεν	ἐντεῦθεν	{}	hence
Αἰθιοπίαν	Αἰθιοπία	{Case: [accusative], Gender: [feminine], Number: [singular]}	Ethiopia (LSJ Αἰθίοψ)
χώραν	χώρα	{Case: [accusative], Gender: [feminine], Number: [singular]}	land
ἔγημε	ἔγω	{Aspect: [perfective], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	
Ἀνδρομέδαν,	Ἀνδρομέδα	{Case: [accusative], Gender: [feminine], Number: [singular]}	Andromeda
κατελθὼν	κατέρχομαι	{Aspect: [perfective], Case: [nominative], Gender: [masculine], Number: [singular], Tense: [past], VerbForm: [participle], Voice: [active]}	to go down from; return from exile
Σέριφον	Σέριφος	{Case: [accusative], Gender: [masculine], Number: [singular]}	Seriphos
διασώσας	διασῴζω	{Aspect: [perfective], Case: [nominative], Gender: [masculine], Number: [singular], Tense: [past], VerbForm: [participle], Voice: [active]}	to preserve through
μητέρα,	μήτηρ	{Case: [accusative], Gender: [feminine], Number: [singular]}	a mother
Ἄργει	Ἄργος	{Case: [dative], Gender: [feminine], Number: [singular]}	Argos
αὐταῖς	αὐτός	{Case: [dative], Gender: [feminine], Number: [plural], Person: [third], PrononimalType: [personal]}	unemph. 3rd pers.pronoun; -self; [the] same 
κατῴκησεν.	κατοικέω	{Aspect: [perfective], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	to settle; to inhabit
2.20.0	2.20.0	{Case: [genitive], Gender: [masculine], Number: [singular]}	
Jason	Jason	{Case: [genitive], Degree: [positive], Gender: [masculine], Number: [singular]}	
2.20.1	2.20.1	{Case: [genitive], Gender: [masculine], Number: [singular]}	
Αἴσων,	Αἴσων	{Case: [nominative], Gender: [masculine], Number: [singular]}	Aeson
Ἰάσονος	Ἰάσων	{Case: [genitive], Gender: [masculine], Number: [singular]}	Jason
πατήρ,	πατήρ	{Case: [nominative], Gender: [masculine], Number: [singular]}	a father
βασιλεὺς	βασιλεύς	{Case: [nominative], Gender: [masculine], Number: [singular]}	a king, chief
ἦν	εἰμί	{Aspect: [imperfective], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	to be
Ἰωλκίᾳ	Ἰωλκία	{Case: [dative], Gender: [feminine], Number: [singular]}	
γῇ,	γῆ	{Case: [nominative], Gender: [feminine], Number: [singular]}	earth
ἀλλ	ἀλλ	{Case: [nominative], Gender: [masculine], Number: [singular]}	
πατρίδος	πατρίς	{Case: [genitive], Gender: [feminine], Number: [singular]}	fatherland, homeland; of one’s father
ὕστερον	ὕστερος	{Case: [accusative], Degree: [positive], Gender: [neuter], Number: [singular]}	latter, last
ἐξέπεσεν	ἐκπίπτω	{Aspect: [perfective], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	to fall out of
ἀδελφοῦ	ἀδελφός	{Case: [genitive], Gender: [masculine], Number: [singular]}	(of the same mother) brother; adj brotherly, sisterly, akin
Πελίου.	Πελίοι	{Case: [genitive], Gender: [masculine], Number: [singular]}	
Φεύγων	Φεῦγος	{Case: [nominative], Gender: [masculine], Number: [plural]}	
ἤνεγκε	φέρω	{Aspect: [perfective], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	to bear
παιδίον	παιδίον	{Case: [accusative], Gender: [neuter], Number: [singular]}	a child
Ἰάσονα	Ἰάσων	{Case: [accusative], Gender: [masculine], Number: [singular]}	Jason
Κένταυρον	Κένταυρος	{Case: [accusative], Gender: [masculine], Number: [singular]}	a Centaur
Χείρωνα	Χείρων	{Case: [accusative], Gender: [masculine], Number: [singular]}	Cheiron
σοφώτατον	σοφός	{Case: [accusative], Degree: [superlative], Gender: [masculine], Number: [singular]}	wise, skilled, clever
εὐκλεέστατον	εὐκλεής	{Case: [accusative], Degree: [superlative], Gender: [masculine], Number: [singular]}	of good report, famous, glorious
τότε	τότε	{}	at that time, then
ἀνθρώπων.	ἀνθρώπων	{Case: [genitive], Gender: [masculine], Number: [plural]}	
ἐπαίδευεν	παιδεύω	{Aspect: [imperfective], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	to bring up
ὄρει	ὄρος	{Case: [dative], Gender: [neuter], Number: [singular]}	a mountain, hill
Πηλίῳ	Πήλιον	{Case: [dative], Gender: [neuter], Number: [singular]}	Pelion
Ἡρακλέα	Ἡρακλῆς	{Case: [accusative], Gender: [masculine], Number: [singular]}	Heracles
Ἀσκληπιὸν	Ἀσκληπιός	{Case: [accusative], Degree: [positive], Gender: [masculine], Number: [singular]}	Asclepius
Πηλεά	Πηλεά	{Case: [accusative], Gender: [masculine], Number: [singular]}	
πολλοὺς	πολύς	{Case: [accusative], Degree: [positive], Gender: [masculine], Number: [plural]}	much, many
ἡρώων.	ἡρώων	{Case: [genitive], Gender: [masculine], Number: [plural]}	
Καὶ	καί	{}	and, also
ἐδίδασκεν	διδάσκω	{Aspect: [imperfective], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	to teach
αὐτοὺς	αὐτός	{Case: [accusative], Gender: [masculine], Number: [plural], Person: [third], PrononimalType: [personal]}	unemph. 3rd pers.pronoun; -self; [the] same 
θηρᾶν	θηραίνω	{Tense: [present], VerbForm: [infinitive], Voice: [active]}	
λαγὼς	λαγχάνω	{Aspect: [perfective], Case: [nominative], Gender: [masculine], Number: [singular], Tense: [past], VerbForm: [participle], Voice: [active]}	to obtain by lot, by fate, by the will of the gods
αἶγας	αἶγυς	{Case: [accusative], Gender: [masculine], Number: [plural]}	
ὄρεσι,	ὄρος	{Case: [dative], Gender: [neuter], Number: [plural]}	a mountain, hill
παλαίειν	παλαίω	{Tense: [present], VerbForm: [infinitive], Voice: [active]}	to wrestle
πὺξ	πυάω	{Aspect: [perfective], Number: [singular], Tense: [past], VerbForm: [infinitive], Voice: [active]}	
ἀγωνίζεσθαι	ἀγωνίζομαι	{Tense: [present], VerbForm: [infinitive], Voice: [middle]}	to contend for a prize
ταχεῖς	ταχύς	{Case: [accusative], Degree: [positive], Gender: [masculine], Number: [plural]}	quick, swift, fleet
ἰσχυροὺς	ἰσχυρός	{Case: [accusative], Degree: [positive], Gender: [masculine], Number: [plural]}	strong, mighty
γενέσθαι,	γίγνομαι	{Aspect: [perfective], Tense: [past], VerbForm: [infinitive], Voice: [middle]}	become, be born
μέλη	μέλος	{Case: [accusative], Gender: [neuter], Number: [plural]}	a limb; a phrase of song; a song
ᾄδειν	ἀείνω	{Tense: [present], VerbForm: [infinitive], Voice: [active]}	
αὐλὸν	αὐλός	{Case: [accusative], Gender: [masculine], Number: [singular]}	aulos (wind instrument resembling oboe)
λύραν,	λύραν	{Case: [accusative], Gender: [feminine], Number: [singular]}	
νοσοῦντας	νοσέω	{Case: [accusative], Gender: [masculine], Number: [plural], Tense: [present], VerbForm: [participle], Voice: [active]}	to be sick, ill, to ail
θεραπεύειν,	θεραπεύω	{Tense: [present], VerbForm: [infinitive], Voice: [active]}	to be an attendant, do service
πάντα	πᾶς	{Case: [accusative], Gender: [neuter], Number: [plural]}	all, the whole
ἐπιτηδεύματα	ἐπιτήδευμα	{Case: [accusative], Gender: [neuter], Number: [plural]}	a pursuit, business, practice
ὅσα	ὅσος	{Case: [accusative], Gender: [neuter], Number: [plural], PrononimalType: [relative]}	as much/many as
ἀνθρώποις	ἄνθρωπος	{Case: [dative], Gender: [masculine], Number: [plural]}	man, person, human
ἔνδοξά	ἔνδοξος	{Case: [accusative], Degree: [positive], Gender: [neuter], Number: [plural]}	held in esteem
ἐστιν.	ἔστινον	{Case: [genitive], Gender: [masculine], Number: [singular]}	
2.20.2	2.20.2	{Case: [genitive], Gender: [masculine], Number: [singular]}	
Τέλος	Τέλος	{Case: [accusative], Gender: [neuter], Number: [singular]}	
δέ,	δέ,	{}	
Ἰάσονος	Ἰάσων	{Case: [genitive], Gender: [masculine], Number: [singular]}	Jason
ἤδη	ἤδη	{}	already
ἡβῶντος,	ἡβάνω	{Case: [genitive], Gender: [masculine], Number: [singular], Tense: [present], VerbForm: [participle], Voice: [active]}	
Χείρων	Χείρων	{Case: [nominative], Gender: [masculine], Number: [singular]}	Cheiron
ἐκάλεσεν	καλέω	{Aspect: [perfective], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	to call, summon
αὐτὸν	αὐτός	{Case: [accusative], Gender: [masculine], Number: [singular], Person: [third], PrononimalType: [personal]}	unemph. 3rd pers.pronoun; -self; [the] same 
ἐκέλευσεν	κελεύω	{Aspect: [perfective], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	to urge
ἐξιόντα	ἔξειμι	{Case: [accusative], Gender: [masculine], Number: [singular], Tense: [present], VerbForm: [participle], Voice: [active]}	go out
εὑρίσκειν	εὑρίσκω	{Tense: [present], VerbForm: [infinitive], Voice: [active]}	to find
Πελίαν	Πελίαι	{Case: [accusative], Gender: [masculine], Number: [singular]}	
κακὸν	κακός	{Case: [accusative], Degree: [positive], Gender: [masculine], Number: [singular]}	bad
βασιλέα,	βασιλεύς	{Case: [accusative], Gender: [masculine], Number: [singular]}	a king, chief
ἀξιοῦν	ἀξιός	{Case: [accusative], Degree: [positive], Gender: [masculine], Number: [singular]}	
αὐτὸν	αὐτός	{Case: [accusative], Gender: [masculine], Number: [singular], Person: [third], PrononimalType: [personal]}	unemph. 3rd pers.pronoun; -self; [the] same 
ἀρχήν,	ἀρχή	{Case: [accusative], Gender: [feminine], Number: [singular]}	a beginning, rule, office, empire
ἀδίκως	ἀδίκως	{Degree: [positive]}	
κλαπεῖσαν,	κλαπέω	{Aspect: [perfective], Case: [accusative], Gender: [feminine], Number: [plural], Tense: [past], VerbForm: [participle], Voice: [passive]}	
ἀποδιδόναι.	ἀποδιδοναίνω	{Tense: [present], VerbForm: [infinitive], Voice: [active]}	
ἐποίησεν.	ποιέω	{Aspect: [perfective], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	to make, to do
Πελίας	Πελία	{Case: [genitive], Gender: [feminine], Number: [singular]}	
ἔφη	φημί	{Aspect: [imperfective], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	to say, to claim
ἀποδώσειν	ἀποδίδωμι	{Tense: [future], VerbForm: [infinitive], Voice: [active]}	to give back, give what is due; (mid.) sell
ἀρχὴν	ἀρχή	{Case: [accusative], Gender: [feminine], Number: [singular]}	a beginning, rule, office, empire
πρὶν	πρίν	{}	before; (after negated main clause) until
Ἰάσων	Ἰάσων	{Case: [nominative], Gender: [masculine], Number: [singular]}	Jason
ἔλθῃ	ἔρχομαι	{Aspect: [perfective], Mood: [subjunctive], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	to come
φέρων	φέρω	{Case: [nominative], Gender: [masculine], Number: [singular], Tense: [present], VerbForm: [participle], Voice: [active]}	to bear
χρυσοῦν	χρύσεος	{Case: [nominative], Degree: [positive], Gender: [neuter], Number: [singular]}	golden, of gold, decked
δέρμα,	δέρμα	{Case: [nominative], Gender: [neuter], Number: [singular]}	the skin, hide
Κολχίδι	Κολχίς	{Case: [dative], Gender: [feminine], Number: [singular]}	Colchis
κρεμασθέν.	κρεμάννυμι	{Aspect: [perfective], Case: [nominative], Gender: [neuter], Number: [singular], Tense: [past], VerbForm: [participle], Voice: [passive]}	to hang, hang up
Πρός	πρός	{}	(w. gen.) from; (w. dat.) at, near, in addition to; (w. acc.) to, toward, regarding
ἀντεῖπεν	ἀντιρέω	{Aspect: [perfective], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	
Ἰάσων	Ἰάσων	{Case: [nominative], Gender: [masculine], Number: [singular]}	Jason
δέρμα	δέρμα	{Case: [accusative], Gender: [neuter], Number: [singular]}	the skin, hide
ζητήσας	ζητέω	{Aspect: [perfective], Case: [nominative], Gender: [masculine], Number: [singular], Tense: [past], VerbForm: [participle], Voice: [active]}	to seek, seek for
κατοίσει.	κατοισείω	{Mood: [indicative], Number: [singular], Person: [third], Tense: [future], VerbForm: [finite], Voice: [active]}	
Ξυνέλεξεν	Ξυναλέγω	{Aspect: [perfective], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	
πάντας	πᾶς	{Case: [accusative], Gender: [masculine], Number: [plural]}	all, the whole
ἥρωας	ἥρως	{Case: [accusative], Gender: [masculine], Number: [plural]}	hero
μεθ	μεθ	{Case: [accusative], Gender: [masculine], Number: [plural]}	
Πηλίῳ	Πήλιον	{Case: [dative], Gender: [neuter], Number: [singular]}	Pelion
πεπαιδευμένους,	παιδεύω	{Aspect: [perfective], Case: [accusative], Gender: [masculine], Number: [plural], Tense: [past], VerbForm: [participle], Voice: [passive]}	to bring up
Ἡρακλέα	Ἡρακλῆς	{Case: [accusative], Gender: [masculine], Number: [singular]}	Heracles
Ὀρφέα	Ὀρφεύς	{Case: [accusative], Gender: [masculine], Number: [singular]}	Orpheus
Τελαμῶνα	Τελαμών	{Case: [accusative], Gender: [masculine], Number: [singular]}	Telamon
Αἴαντος	Αἴας	{Case: [genitive], Gender: [masculine], Number: [singular]}	Ajax
πατέρα	πατήρ	{Case: [accusative], Gender: [masculine], Number: [singular]}	a father
Τῖφυν	Τῖφυς	{Case: [accusative], Gender: [masculine], Number: [singular]}	
κυβερνήτην	κυβερνήτης	{Case: [accusative], Gender: [masculine], Number: [singular]}	a steersman, helmsman, pilot
πεντήκοντα.	πεντήκων	{Case: [accusative], Gender: [feminine], Number: [singular]}	
πολλὰ	πολύς	{Case: [accusative], Degree: [positive], Gender: [neuter], Number: [plural]}	much, many
παθόντες	πάσχω	{Aspect: [perfective], Case: [nominative], Gender: [masculine], Number: [plural], Tense: [past], VerbForm: [participle], Voice: [active]}	to experience, to suffer
Ἥρας	Ἥρας	{Case: [genitive], Gender: [feminine], Number: [singular]}	
βοηθούσης	βοηθέω	{Case: [genitive], Gender: [feminine], Number: [singular], Tense: [present], VerbForm: [participle], Voice: [active]}	to come to aid, to succour, assist, aid
τέλος	τέλος	{Case: [accusative], Gender: [neuter], Number: [singular]}	end, authority, fulfilment, taxes, duty
ἀφίκοντο	ἀφικνέομαι	{Aspect: [perfective], Mood: [indicative], Number: [plural], Person: [third], Tense: [past], VerbForm: [finite], Voice: [middle]}	to come to
Κολχίδα.	Κολχίς	{Case: [accusative], Degree: [positive], Gender: [feminine], Number: [singular]}	Colchis
2.20.3	2.20.3	{Case: [genitive], Gender: [feminine], Number: [singular]}	
Ἐκεῖ	ἐκεῖ	{}	there, in that place
οὐδὲν	οὐδείς	{Case: [accusative], Gender: [neuter], Number: [singular]}	not one, nobody
ἔπραξαν	πράσσω	{Aspect: [perfective], Mood: [indicative], Number: [plural], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	do, (w. adv) fare, (mid.) charge payment
Μήδεια,	Μήδεια	{Case: [nominative], Gender: [masculine], Number: [singular]}	Medea
Κολχικοῦ	Κολχικός	{Case: [genitive], Degree: [positive], Gender: [masculine], Number: [singular]}	
βασιλέως	βασιλεύς	{Case: [genitive], Gender: [masculine], Number: [singular]}	a king, chief
θυγάτηρ,	θυγάτηρ	{Case: [nominative], Gender: [feminine], Number: [singular]}	a daughter
Ἰάσονα	Ἰάσων	{Case: [accusative], Gender: [masculine], Number: [singular]}	Jason
φιλίας	φιλία	{Case: [genitive], Gender: [feminine], Number: [singular]}	friendly love, affection, friendship
ἔχουσα,	ἔχω	{Case: [nominative], Gender: [feminine], Number: [singular], Tense: [present], VerbForm: [participle], Voice: [active]}	have, hold; be able; (+ adv.) be; (mid.) cling to, be next to (+ gen.)
